Hour,Visits
000000,1
000001,2
000002,1
000003,0
000004,0
000005,3
000006,1
000007,1
000008,1
000009,0
000010,1
000011,0
000012,0
000013,2
000014,4
000015,0
000016,0
000017,1
000018,1
000019,0
000020,0
000021,3
000022,2
000023,3
000024,3
000025,1
000026,3
000027,0
000028,4
000029,2
000030,4
000031,1
000032,2
000033,5
000034,3
000035,2
000036,2
000037,1
000038,2
000039,2
000040,3
000041,0
000042,1
000043,2
000044,2
000045,0
000046,1
000047,4
000048,2
000049,1
000050,3
000051,3
000052,5
000053,5
000054,3
000055,3
000056,3
000057,4
000058,1
000059,5
000060,0
000061,1
000062,8
000063,7
000064,2
000065,3
000066,2
000067,1
000068,2
000069,0
000070,1
000071,3
000072,1
000073,1
000074,4
000075,1
000076,3
000077,7
000078,5
000079,4
000080,6
000081,4
000082,10
000083,0
000084,2
000085,1
000086,1
000087,3
000088,1
000089,1
000090,4
000091,2
000092,1
000093,0
000094,5
000095,3
000096,1
000097,1
000098,2
000099,0
000100,4
000101,3
000102,3
000103,5
000104,3
000105,7
000106,5
000107,3
000108,2
000109,2
000110,2
000111,5
000112,1
000113,2
000114,0
000115,1
000116,3
000117,0
000118,0
000119,4
000120,4
000121,1
000122,3
000123,2
000124,4
000125,8
000126,4
000127,1
000128,6
000129,5
000130,1
000131,5
000132,0
000133,5
000134,1
000135,2
000136,4
000137,2
000138,2
000139,1
000140,0
000141,2
000142,1
000143,1
000144,3
000145,1
000146,0
000147,1
000148,1
000149,1
000150,0
000151,1
000152,2
000153,0
000154,1
000155,0
000156,4
000157,2
000158,5
000159,0
000160,1
000161,0
000162,1
000163,1
000164,0
000165,0
000166,0
000167,0
000168,3
000169,0
000170,0
000171,1
000172,1
000173,1
000174,0
000175,1
000176,0
000177,0
000178,1
000179,2
000180,2
000181,3
000182,0
000183,0
000184,1
000185,0
000186,0
000187,2
000188,2
000189,2
000190,1
000191,7
000192,0
000193,1
000194,5
000195,2
000196,4
000197,5
000198,5
000199,3
000200,4
000201,4
000202,5
000203,3
000204,4
000205,4
000206,2
000207,2
000208,5
000209,2
000210,1
000211,2
000212,0
000213,1
000214,3
000215,2
000216,3
000217,1
000218,3
000219,3
000220,4
000221,3
000222,12
000223,5
000224,3
000225,3
000226,1
000227,4
000228,1
000229,2
000230,4
000231,0
000232,1
000233,1
000234,2
000235,3
000236,2
000237,1
000238,0
000239,4
000240,2
000241,2
000242,2
000243,3
000244,3
000245,1
000246,7
000247,2
000248,4
000249,1
000250,3
000251,5
000252,4
000253,1
000254,3
000255,1
000256,2
000257,2
000258,4
000259,2
000260,1
000261,1
000262,3
000263,2
000264,2
000265,1
000266,3
000267,1
000268,7
000269,3
000270,4
000271,2
000272,3
000273,3
000274,2
000275,3
000276,1
000277,1
000278,4
000279,5
000280,1
000281,3
000282,3
000283,1
000284,0
000285,1
000286,4
000287,1
000288,2
000289,1
000290,4
000291,3
000292,3
000293,5
000294,3
000295,6
000296,3
000297,2
000298,5
000299,4
000300,3
000301,1
000302,0
000303,3
000304,3
000305,2
000306,0
000307,1
000308,1
000309,1
000310,1
000311,0
000312,3
000313,3
000314,0
000315,0
000316,2
000317,1
000318,3
000319,1
000320,0
000321,3
000322,2
000323,3
000324,0
000325,0
000326,0
000327,2
000328,0
000329,2
000330,1
000331,2
000332,0
000333,1
000334,3
000335,0
000336,0
000337,0
000338,0
000339,2
000340,0
000341,0
000342,3
000343,0
000344,2
000345,1
000346,1
000347,0
000348,3
000349,3
000350,3
000351,3
000352,4
000353,0
000354,2
000355,1
000356,1
000357,1
000358,0
000359,1
000360,2
000361,2
000362,3
000363,4
000364,1
000365,2
000366,3
000367,2
000368,4
000369,3
000370,5
000371,6
000372,2
000373,4
000374,3
000375,2
000376,2
000377,2
000378,2
000379,0
000380,1
000381,0
000382,6
000383,0
000384,1
000385,1
000386,4
000387,1
000388,5
000389,2
000390,3
000391,3
000392,1
000393,2
000394,5
000395,2
000396,5
000397,1
000398,5
000399,1
000400,2
000401,3
000402,4
000403,2
