Hour,Visits
000000,0
000001,0
000002,1
000003,0
000004,3
000005,1
000006,0
000007,0
000008,1
000009,0
000010,3
000011,3
000012,0
000013,1
000014,4
000015,5
000016,1
000017,2
000018,2
000019,0
000020,0
000021,1
000022,2
000023,1
000024,1
000025,1
000026,1
000027,1
000028,2
000029,0
000030,0
000031,2
000032,1
000033,0
000034,1
000035,7
000036,2
000037,3
000038,3
000039,10
000040,1
000041,1
000042,2
000043,2
000044,0
000045,2
000046,1
000047,2
000048,0
000049,1
000050,1
000051,1
000052,1
000053,1
000054,2
000055,0
000056,1
000057,2
000058,1
000059,1
000060,2
000061,0
000062,0
000063,3
000064,2
000065,1
000066,1
000067,1
000068,0
000069,1
000070,1
000071,0
000072,0
000073,1
000074,3
000075,0
000076,3
000077,0
000078,1
000079,0
000080,0
000081,1
000082,1
000083,0
000084,4
000085,0
000086,2
000087,0
000088,0
000089,1
000090,0
000091,0
000092,0
000093,0
000094,0
000095,0
000096,0
000097,0
000098,0
000099,0
000100,2
000101,2
000102,1
000103,1
000104,0
000105,0
000106,0
000107,0
000108,0
000109,0
000110,1
000111,0
000112,0
000113,1
000114,1
000115,0
000116,0
000117,3
000118,0
000119,0
000120,0
000121,0
000122,0
000123,0
000124,0
000125,0
000126,0
000127,0
000128,1
000129,0
000130,1
000131,0
000132,0
000133,1
000134,2
000135,0
000136,0
000137,0
000138,0
000139,1
000140,0
000141,0
000142,0
000143,0
000144,0
000145,0
000146,0
000147,0
000148,0
000149,0
000150,1
000151,1
000152,0
000153,0
000154,0
000155,0
000156,1
000157,1
000158,0
000159,0
000160,0
000161,0
000162,0
000163,0
000164,0
000165,0
000166,0
000167,0
000168,0
000169,0
000170,2
000171,1
000172,0
000173,1
000174,2
000175,0
000176,1
000177,3
000178,2
000179,0
000180,1
000181,0
000182,2
000183,0
000184,2
000185,0
000186,0
000187,1
000188,0
000189,0
000190,0
000191,1
000192,1
000193,1
000194,4
000195,3
000196,1
000197,1
000198,1
000199,1
000200,0
000201,1
000202,1
000203,1
000204,4
000205,4
000206,1
000207,0
000208,1
000209,3
000210,0
000211,0
000212,1
000213,0
000214,3
000215,1
000216,0
000217,0
000218,2
000219,3
000220,1
000221,2
000222,1
000223,0
000224,5
000225,0
000226,3
000227,2
000228,0
000229,0
000230,1
000231,0
000232,1
000233,0
000234,1
000235,0
000236,2
000237,2
000238,0
000239,3
000240,0
000241,2
000242,0
000243,1
000244,0
000245,0
000246,0
000247,1
000248,2
000249,1
000250,0
000251,2
000252,0
000253,1
000254,0
000255,1
000256,1
000257,2
000258,3
000259,2
000260,1
000261,0
000262,2
000263,0
000264,1
000265,0
000266,2
000267,0
000268,2
000269,1
000270,1
000271,1
000272,1
000273,1
000274,2
000275,2
000276,0
000277,1
000278,1
000279,1
000280,1
000281,2
000282,0
000283,1
000284,0
000285,0
000286,1
000287,0
000288,2
000289,0
000290,0
000291,0
000292,0
000293,0
000294,1
000295,0
000296,0
000297,1
000298,0
000299,0
000300,0
000301,0
000302,0
000303,0
000304,0
000305,2
000306,1
000307,1
000308,2
000309,0
000310,0
000311,2
000312,1
000313,1
000314,1
000315,0
000316,2
000317,0
000318,0
000319,1
000320,2
000321,1
000322,0
000323,1
000324,0
000325,2
000326,1
000327,0
000328,1
000329,0
000330,0
000331,0
000332,0
000333,0
000334,1
000335,0
000336,0
000337,0
000338,0
000339,0
000340,1
000341,0
000342,0
000343,1
000344,0
000345,2
000346,0
000347,2
000348,2
000349,0
000350,1
000351,3
000352,2
000353,0
000354,0
000355,0
000356,0
000357,1
000358,1
000359,1
000360,1
000361,0
000362,1
000363,0
000364,0
000365,1
000366,0
000367,1
000368,0
000369,0
000370,1
000371,0
000372,1
000373,3
000374,1
000375,2
000376,3
000377,0
000378,0
000379,1
000380,0
000381,0
000382,0
000383,1
000384,0
000385,1
000386,2
000387,2
000388,1
000389,2
000390,2
000391,3
000392,1
000393,0
000394,3
000395,1
000396,1
000397,2
000398,2
000399,1
000400,2
000401,1
000402,0
000403,1
000404,0
000405,1
000406,2
000407,0
000408,1
000409,0
000410,3
000411,0
000412,3
000413,0
000414,0
000415,0
000416,0
000417,2
000418,3
000419,2
000420,4
000421,0
000422,0
000423,3
000424,1
000425,0
000426,0
000427,0
000428,0
000429,0
000430,0
000431,0
000432,0
000433,0
000434,0
000435,0
000436,0
000437,0
000438,0
000439,0
000440,0
000441,0
000442,0
000443,0
000444,0
000445,0
000446,1
000447,0
000448,0
000449,0
000450,1
000451,0
000452,1
000453,0
000454,0
000455,0
000456,0
000457,0
000458,0
000459,0
000460,0
000461,0
000462,0
000463,0
000464,0
000465,0
000466,0
000467,0
000468,0
000469,0
000470,0
000471,0
000472,0
000473,0
000474,0
000475,0
000476,0
000477,0
000478,0
000479,0
000480,0
000481,0
000482,0
000483,0
000484,0
000485,0
000486,0
000487,0
000488,0
000489,0
000490,0
000491,0
000492,0
000493,0
000494,0
000495,1
000496,0
000497,0
000498,0
000499,0
000500,0
000501,0
000502,0
000503,0
000504,0
000505,0
000506,0
000507,0
000508,0
000509,0
000510,0
000511,0
000512,0
000513,0
000514,0
000515,0
000516,0
000517,0
000518,0
000519,0
000520,0
000521,0
000522,0
000523,0
000524,0
000525,0
000526,0
000527,0
000528,0
000529,0
000530,0
000531,0
000532,0
000533,0
000534,0
000535,0
000536,0
000537,0
000538,0
000539,0
000540,0
000541,0
000542,0
000543,0
000544,0
000545,0
000546,0
000547,0
000548,0
000549,0
000550,0
000551,0
000552,0
000553,0
000554,0
000555,0
000556,0
000557,0
000558,0
000559,0
000560,0
000561,0
000562,0
000563,0
000564,0
000565,0
000566,0
000567,0
000568,1
000569,0
000570,0
000571,0
000572,0
000573,0
000574,0
000575,0
000576,0
000577,0
000578,0
000579,0
000580,0
000581,0
000582,0
000583,0
000584,6
000585,2
000586,1
000587,3
000588,3
000589,3
000590,2
000591,1
000592,5
000593,1
000594,1
000595,2
000596,1
000597,2
000598,0
000599,1
000600,0
000601,0
000602,3
000603,117
000604,150
000605,106
000606,79
000607,85
000608,123
000609,93
000610,78
000611,53
000612,49
000613,34
000614,36
000615,43
000616,27
000617,28
000618,24
000619,24
000620,16
000621,13
000622,10
000623,13
000624,12
000625,15
000626,9
000627,16
000628,15
000629,25
000630,34
000631,22
000632,13
000633,10
000634,14
000635,9
000636,14
000637,15
000638,9
000639,9
000640,11
000641,6
000642,10
000643,6
000644,2
000645,8
000646,6
000647,5
000648,5
000649,5
000650,6
000651,9
000652,13
000653,9
000654,11
000655,8
000656,3
000657,8
000658,7
000659,11
000660,7
000661,9
000662,9
000663,14
000664,9
000665,7
000666,11
000667,11
000668,10
000669,13
000670,14
000671,8
000672,18
000673,16
000674,28
000675,26
000676,21
000677,19
000678,26
000679,49
000680,36
000681,22
000682,15
000683,23
000684,11
000685,63
000686,95
000687,72
000688,68
000689,48
000690,40
000691,41
000692,21
000693,23
000694,36
000695,19
000696,24
000697,35
000698,54
000699,68
000700,50
000701,42
000702,49
000703,47
000704,47
000705,52
000706,37
000707,39
000708,27
000709,24
000710,31
000711,30
000712,25
000713,59
000714,38
000715,17
000716,9
000717,16
000718,9
000719,18
000720,12
000721,15
000722,29
000723,30
000724,20
000725,16
000726,22
000727,24
000728,21
000729,17
000730,24
000731,9
000732,18
000733,16
000734,13
000735,16
000736,15
000737,9
000738,11
000739,13
000740,9
000741,17
000742,11
000743,7
000744,9
000745,12
000746,8
000747,14
000748,45
000749,17
000750,9
000751,12
000752,26
000753,30
000754,22
000755,10
000756,20
000757,14
000758,19
000759,9
000760,6
000761,6
000762,5
000763,11
000764,7
000765,9
000766,8
000767,6
000768,3
000769,5
000770,12
000771,13
000772,6
000773,9
000774,11
000775,3
000776,5
000777,9
000778,14
000779,8
000780,5
000781,8
000782,7
000783,7
000784,8
000785,10
000786,5
000787,1
000788,3
000789,2
000790,3
000791,2
000792,2
000793,2
000794,5
000795,5
000796,4
000797,2
000798,4
000799,1
000800,2
000801,7
000802,1
000803,3
000804,4
000805,4
000806,5
000807,5
000808,4
000809,3
000810,6
000811,1
000812,1
000813,2
000814,4
000815,1
000816,2
000817,3
000818,3
000819,2
000820,3
000821,2
000822,2
000823,4
000824,1
000825,6
000826,8
000827,2
000828,6
000829,4
000830,9
000831,5
000832,4
000833,4
000834,2
000835,3
000836,3
000837,4
000838,3
000839,6
000840,0
000841,3
000842,9
000843,9
000844,11
000845,6
000846,13
000847,7
000848,6
000849,19
000850,13
000851,14
000852,9
000853,9
000854,9
000855,8
000856,8
000857,7
000858,3
000859,4
000860,5
000861,3
000862,6
000863,4
000864,1
000865,1
000866,3
000867,8
000868,3
000869,3
000870,5
000871,6
000872,10
000873,4
000874,10
000875,9
000876,8
000877,6
000878,6
000879,5
000880,8
000881,1
000882,9
000883,2
000884,1
000885,3
000886,0
000887,1
000888,0
000889,4
000890,3
000891,10
000892,4
000893,6
000894,6
000895,7
000896,1
000897,10
000898,9
000899,3
000900,13
000901,3
000902,3
000903,6
000904,4
000905,8
000906,3
000907,1
000908,2
000909,7
000910,6
000911,3
000912,5
000913,6
000914,4
000915,9
000916,8
000917,6
000918,3
000919,2
000920,10
000921,9
000922,7
000923,4
000924,7
000925,4
000926,8
000927,7
000928,7
000929,6
000930,7
000931,0
000932,5
000933,4
000934,1
000935,5
000936,2
000937,2
000938,3
000939,3
000940,8
000941,2
000942,10
000943,62
000944,63
000945,52
000946,46
000947,40
000948,23
000949,30
000950,12
000951,14
000952,28
000953,10
000954,11
000955,6
000956,7
000957,3
000958,7
000959,7
000960,6
000961,3
000962,4
000963,5
000964,10
000965,7
000966,4
000967,1
000968,5
000969,7
000970,3
000971,7
000972,3
000973,7
000974,3
000975,5
000976,5
000977,0
000978,1
000979,3
000980,3
000981,5
000982,6
000983,2
000984,3
000985,2
000986,4
000987,2
000988,6
000989,4
000990,0
000991,3
000992,3
000993,4
000994,5
000995,2
000996,3
000997,6
000998,1
000999,5
001000,2
001001,4
001002,5
001003,5
001004,5
001005,7
001006,5
001007,2
001008,6
001009,2
001010,10
001011,7
001012,9
001013,73
001014,127
001015,53
001016,38
001017,31
001018,32
001019,19
001020,25
001021,14
001022,14
001023,15
001024,10
001025,11
001026,8
001027,6
001028,5
001029,6
001030,3
001031,7
001032,7
001033,4
001034,4
001035,14
001036,13
001037,9
001038,10
001039,10
001040,11
001041,6
001042,4
001043,4
001044,8
001045,8
001046,14
001047,15
001048,8
001049,5
001050,3
001051,6
001052,5
001053,2
001054,5
001055,5
001056,1
001057,2
001058,7
001059,5
001060,37
001061,19
001062,9
001063,6
001064,6
001065,7
001066,5
001067,6
001068,3
001069,5
001070,4
001071,5
001072,1
001073,5
001074,1
001075,3
001076,2
001077,8
001078,3
001079,3
001080,6
001081,0
001082,5
001083,4
001084,4
001085,4
001086,1
001087,1
001088,3
001089,5
001090,5
001091,5
001092,3
001093,1
001094,10
001095,3
001096,6
001097,2
001098,7
001099,0
001100,2
001101,3
001102,3
001103,3
001104,1
001105,2
001106,1
001107,6
001108,5
001109,6
001110,4
001111,3
001112,6
001113,2
001114,6
001115,5
001116,2
001117,1
001118,2
001119,3
001120,4
001121,1
001122,2
001123,3
001124,2
001125,4
001126,2
001127,1
001128,2
001129,4
001130,4
001131,2
001132,2
001133,3
001134,0
001135,3
001136,0
001137,2
001138,0
001139,3
001140,3
001141,4
001142,4
001143,2
001144,3
001145,3
001146,2
001147,1
001148,2
001149,2
001150,0
001151,2
001152,0
001153,3
001154,2
001155,4
001156,4
001157,5
001158,2
001159,1
001160,3
001161,5
001162,3
001163,2
001164,3
001165,2
001166,2
001167,2
001168,3
001169,0
001170,1
001171,3
001172,3
001173,2
001174,4
001175,2
001176,3
001177,3
001178,2
001179,4
001180,3
001181,6
001182,5
001183,11
001184,4
001185,2
001186,7
001187,11
001188,8
001189,3
001190,2
001191,5
001192,4
001193,1
001194,2
001195,3
001196,5
